transport	trainnumber	departcity	arrivecity	departtime	arrivetime	price	id
Q	Q00	BJ	TJ	13:00:00	15:00:00	10	1
Q	Q01	BJ	TJ	18:00:00	20:00:00	10	2
Q	Q02	TJ	BJ	16:00:00	18:00:00	10	3
Q	Q03	TJ	BJ	21:00:00	23:00:00	10	4
Q	Q04	HA	DL	06:00:00	11:00:00	50	5
Q	Q05	HA	DL	14:00:00	19:00:00	50	6
Q	Q06	HA	DL	18:00:00	23:00:00	50	7
Q	Q07	DL	HA	07:00:00	12:00:00	50	8
Q	Q08	DL	HA	15:00:00	20:00:00	50	9
Q	Q09	DL	HA	18:00:00	23:00:00	50	10
Q	Q10	WL	YC	13:00:00	22:00:00	90	11
Q	Q11	YC	WL	14:00:00	23:00:00	90	12
Q	Q12	YC	HH	06:00:00	12:00:00	60	13
Q	Q13	YC	HH	15:00:00	21:00:00	60	14
Q	Q14	HH	YC	07:00:00	13:00:00	60	15
Q	Q15	HH	YC	15:00:00	21:00:00	60	16
Q	Q16	BJ	WH	08:00:00	20:00:00	120	17
Q	Q17	WH	BJ	09:00:00	21:00:00	120	18
Q	Q18	BJ	YC	07:00:00	16:00:00	90	19
Q	Q19	BJ	YC	10:00:00	19:00:00	90	20
Q	Q20	YC	BJ	08:00:00	17:00:00	90	21
Q	Q21	YC	BJ	12:00:00	21:00:00	90	22
Q	Q22	BJ	HA	12:00:00	00:00:00	120	23
Q	Q23	HA	BJ	11:00:00	23:00:00	120	24
Q	Q24	BJ	CD	09:00:00	21:00:00	120	25
Q	Q25	CD	BJ	10:00:00	22:00:00	120	26
Q	Q26	BJ	WH	08:00:00	20:00:00	120	27
Q	Q27	WH	BJ	09:00:00	21:00:00	120	28
Q	Q28	BJ	YC	07:00:00	16:00:00	90	29
Q	Q29	BJ	YC	10:00:00	19:00:00	90	30
Q	Q30	YC	BJ	08:00:00	17:00:00	90	31
Q	Q31	YC	BJ	12:00:00	21:00:00	90	32
Q	Q32	TJ	XA	07:00:00	18:00:00	110	33
Q	Q33	XA	TJ	08:00:00	19:00:00	110	34
Q	Q34	DL	JN	14:00:00	00:00:00	100	35
Q	Q35	JN	DL	11:00:00	21:00:00	100	36
Q	Q36	TJ	DL	04:00:00	10:00:00	60	37
Q	Q37	DL	TJ	05:00:00	11:00:00	60	38
Q	Q38	JN	TJ	14:00:00	20:00:00	60	39
Q	Q39	JN	TJ	18:00:00	00:00:00	60	40
Q	Q40	CD	WH	11:00:00	23:00:00	110	41
Q	Q41	WH	CD	12:00:00	00:00:00	120	42
Q	Q42	JN	LA	08:00:00	12:00:00	40	43
Q	Q43	JN	LA	15:00:00	19:00:00	40	44
Q	Q44	JN	LA	18:00:00	22:00:00	40	45
Q	Q45	LA	JN	09:00:00	13:00:00	40	46
Q	Q46	LA	JN	16:00:00	20:00:00	40	47
Q	Q47	LA	JN	19:00:00	23:00:00	40	48
F	F01	CD	WH	08:00:00	10:00:00	600	49
F	F01	WH	TB	10:00:00	13:00:00	900	50
F	F02	CD	WH	21:00:00	23:00:00	600	51
F	F02	WH	TB	23:00:00	02:00:00	900	52
F	F03	TB	WH	09:00:00	12:00:00	900	53
F	F03	WH	CD	12:00:00	14:00:00	600	54
F	F04	TB	WH	22:00:00	01:00:00	900	55
F	F04	WH	CD	01:00:00	03:00:00	600	56
F	F05	HA	BJ	07:00:00	10:00:00	900	57
F	F06	HA	BJ	20:00:00	23:00:00	900	58
F	F07	BJ	HA	09:00:00	12:00:00	900	59
F	F08	BJ	HA	20:30:00	23:30:00	900	60
F	F09	BJ	CD	12:00:00	16:00:00	1200	61
F	F10	BJ	CD	23:00:00	03:00:00	1200	62
F	F11	CD	BJ	09:00:00	13:00:00	1200	63
F	F12	CD	BJ	19:00:00	23:00:00	1200	64
F	F13	BJ	WL	11:00:00	15:00:00	1200	65
F	F14	BJ	WL	22:30:00	02:30:00	1200	66
F	F15	WL	BJ	10:30:00	14:30:00	1200	67
F	F16	WL	BJ	20:00:00	02:00:00	1200	68
F	F17	HH	XA	10:00:00	12:00:00	600	69
F	F18	HH	XA	19:00:00	21:00:00	600	70
